"","Trial","correct","faceVal","houseVal","mult1House","mult2Face","summedVal","earnings","selection","rt","flip","participant","subject","finalEarnings","accuracy"
"162",13,1,0.62,0.78,1,1,1.4,3.04,"['f']",1.33349706114677,NA,3,3,27.04,0.86
"172",14,0,0.04,-0.38,1,1,-0.34,2.7,"['f']",1.01686885218078,NA,3,3,27.04,0.86
"182",15,1,0.36,0.14,1,1,0.5,3.2,"['f']",1.80022873019334,NA,3,3,27.04,0.86
"192",16,0,0.08,0.04,1,1,0.12,3.08,"['j']",3.21684759200434,NA,3,3,27.04,0.86
"202",17,1,-0.62,0.1,1,1,-0.52,3.08,"['j']",1.31686390370305,NA,3,3,27.04,0.86
"212",18,1,-0.78,0.34,1,1,-0.44,3.08,"['j']",0.966860513057327,NA,3,3,27.04,0.86
"222",19,1,0.12,0.2,1,1,0.32,3.4,"['f']",1.45019528207195,NA,3,3,27.04,0.86
"232",20,1,-0.68,-0.44,1,1,-1.12,3.4,"['j']",1.23353316680004,NA,3,3,27.04,0.86
"242",21,1,-0.88,0.44,1,1,-0.44,3.4,"['j']",1.5670797128405,NA,3,3,27.04,0.86
"252",22,1,-0.74,0.1,1,1,-0.64,3.4,"['j']",3.45018245265237,NA,3,3,27.04,0.86
"262",23,0,0.16,-0.52,1,1,-0.36,3.04,"['f']",0.933559375465848,NA,3,3,27.04,0.86
"272",24,1,0.56,-0.2,1,1,0.36,3.4,"['f']",1.33350549190072,NA,3,3,27.04,0.86
"282",25,0,0.88,-0.76,1,1,0.12,3.28,"['j']",1.7337587812799,NA,3,3,27.04,0.86
"292",26,1,0.78,-0.3,1,1,0.48,3.76,"['f']",0.9335392149369,NA,3,3,27.04,0.86
"302",27,1,-0.96,0.98,1,1,0.02,3.78,"['f']",1.61685822209984,NA,3,3,27.04,0.86
"312",28,0,0.98,-0.78,1,1,0.2,3.58,"['j']",5.3168382448639,NA,3,3,27.04,0.86
"322",29,1,0.26,-1,1,1,-0.74,3.58,"['j']",1.78354095607938,NA,3,3,27.04,0.86
"332",30,1,0.72,0.54,1,1,1.26,4.84,"['f']",1.08352244507114,NA,3,3,27.04,0.86
"342",31,1,-0.92,-0.02,1,1,-0.94,4.84,"['j']",1.98353252533707,NA,3,3,27.04,0.86
"352",32,1,0.8,-0.78,1,1,0.02,4.86,"['f']",3.90018199446786,NA,3,3,27.04,0.86
"362",33,1,-0.58,-0.52,1,1,-1.1,4.86,"['j']",2.26707146535045,NA,3,3,27.04,0.86
"372",34,1,0.78,0,1,1,0.78,5.64,"['f']",1.73357293799927,NA,3,3,27.04,0.86
"382",35,1,-0.52,0.18,1,1,-0.34,5.64,"['j']",1.41711810945708,NA,3,3,27.04,0.86
"392",36,1,0.5,0.9,1,1,1.4,7.04,"['f']",1.21687435051717,NA,3,3,27.04,0.86
"402",37,0,0.44,-0.52,1,1,-0.08,6.96,"['f']",1.4168725177442,NA,3,3,27.04,0.86
