"parcode","trial","rt","choice","face_val_tot","house_val_tot","face_mult","house_mult","face_bin","house_bin","face_bin_val","house_bin_val"
156,40,8108.08739267,-1,0.028,-0.19,0.1,0.5,5,4,0,-0.1
156,41,6756.81846452,1,-0.12,0.21,1,0.5,4,6,-0.1,0.12
156,42,5054.93020036,1,0.27,-0.13,0.5,0.5,7,4,0.39,-0.1
156,43,2352.50050927,-1,0.04,-0.8,1,1,5,2,0,-0.72
156,44,2953.24708961,1,-2.7,1.28,3,2,0,9,0,1.52
156,45,4921.67456573,1,2.82,6.2,3,10,99,99,99,99
156,46,7924.65481779,1,0.46,0.3,1,1,7,7,0.39,0.39
156,47,5221.94930536,-1,-0.38,0.28,1,1,3,7,-0.375,0.39
156,48,1952.11375854,1,-2.58,8.8,3,10,1,99,-1.42,99
156,49,9059.09095553,-1,-1.08,-0.042,2,0.1,1,5,-1.42,0
156,50,2886.31535808,-1,-1.5,-0.2,3,1,1,4,-1.42,-0.1
156,51,4904.96904973,1,-6.6,9.8,10,10,0,99,0,99
156,52,2469.22218997,-1,-0.1,-0.56,1,2,4,2,-0.1,-0.72
156,53,5789.33352802,1,0.5,0.34,1,1,7,7,0.39,0.39
156,54,2985.25527891,1,4.8,0.062,10,0.1,99,6,99,0.12
156,55,3971.26591156,1,0.22,0.26,0.5,0.5,6,7,0.12,0.39
156,56,3153.30315524,-1,-1.32,-1.2,2,3,1,1,-1.42,-1.42
156,57,2786.47916828,1,-3.6,0.45,10,0.5,0,7,0,0.39
156,58,4854.89877238,1,0.44,-0.12,1,1,7,4,0.39,-0.1
156,59,1651.79154641,-1,-1.74,-2.16,3,3,1,1,-1.42,-1.42
156,60,2302.24514924,1,-0.32,0.45,0.5,0.5,3,7,-0.375,0.39
156,61,2219.04927588,1,0.8,0.22,1,1,8,6,0.72,0.12
156,62,2335.70755975,1,-0.08,1.68,2,3,4,9,-0.1,1.52
