,correct,earnings,face_mult,face_val,first_image,house_mult,house_val,image_list,key_entry_list,last_image,num_fixations,participant,round_num,rt,rt_list,summed_val,trial
769,1.0,21.5,2.0,1.0,1.0,2.0,1.0,[1],['f'],1.0,1.0,117,1.0,3.58372787268,[3.5837278726830846],4.0,70.0
770,1.0,24.25,3.0,0.75,0.0,1.0,0.5,[0],['f'],0.0,1.0,117,1.0,1.5835874807,[1.5835874806998618],2.75,71.0
771,0.0,24.0,2.0,-0.5,1.0,3.0,0.25,[1],['f'],1.0,1.0,117,1.0,3.05029955177,[3.050299551772696],-0.25,72.0
772,0.0,22.75,2.0,0.75,1.0,1.0,-0.25,[1],['j'],1.0,1.0,117,1.0,3.96679198087,[3.9667919808671286],1.25,73.0
773,1.0,24.75,1.0,1.0,0.0,2.0,0.5,[0],['f'],0.0,1.0,117,1.0,1.15013731289,[1.1501373128885461],2.0,74.0
774,1.0,26.0,3.0,0.25,0.0,2.0,0.25,[0],['f'],0.0,1.0,117,1.0,1.40012448333,[1.4001244833343662],1.25,75.0
775,1.0,26.5,2.0,0.25,0.0,3.0,0.0,[0],['f'],0.0,1.0,117,1.0,1.60027763156,[1.6002776315617666],0.5,76.0
776,1.0,26.5,3.0,-0.5,1.0,2.0,0.75,[1],['f'],1.0,1.0,117,1.0,1.06677379956,[1.066773799557268],0.0,77.0
777,1.0,26.5,2.0,-1.0,0.0,1.0,0.75,[0],['j'],0.0,1.0,117,1.0,1.53343711832,[1.5334371183198527],-1.25,78.0
778,1.0,28.75,3.0,0.0,0.0,3.0,0.75,[0],['f'],0.0,1.0,117,1.0,3.20029280709,[3.200292807090591],2.25,79.0
779,1.0,28.75,1.0,-1.0,1.0,1.0,1.0,[1],['f'],1.0,1.0,117,1.0,1.0169339124,[1.0169339123967802],0.0,80.0
780,1.0,29.0,3.0,-0.25,1.0,1.0,1.0,[1],['f'],1.0,1.0,117,1.0,0.783550018401,[0.7835500184010016],0.25,81.0
781,0.0,28.0,2.0,0.25,1.0,2.0,0.25,[1],['j'],1.0,1.0,117,1.0,5.61699234185,[5.616992341854711],1.0,82.0
782,1.0,28.0,2.0,-0.75,0.0,1.0,-0.5,[0],['j'],0.0,1.0,117,1.0,16.0335093304,[16.03350933038564],-2.0,83.0
783,1.0,28.0,2.0,-1.0,0.0,1.0,-0.5,[0],['j'],0.0,1.0,117,1.0,8.58363513333,[8.583635133330972],-2.5,84.0
784,1.0,29.0,1.0,0.0,1.0,1.0,1.0,[1],['f'],1.0,1.0,117,1.0,1.16700231225,[1.1670023122514976],1.0,85.0
785,1.0,30.0,1.0,1.0,1.0,1.0,0.0,[1],['f'],1.0,1.0,117,1.0,1.76682504446,[1.7668250444621663],1.0,86.0
786,0.0,29.25,1.0,-0.25,0.0,1.0,-0.5,[0],['f'],0.0,1.0,117,1.0,1.91693156642,[1.9169315664221358],-0.75,87.0
787,1.0,31.75,3.0,1.0,1.0,1.0,-0.5,[1],['f'],1.0,1.0,117,1.0,6.30029735242,[6.300297352419875],2.5,88.0
